ID,Name,Critic_Score,Critic_Count,User_Score,User_Count
450,Resident Evil 6,74,34,5.4,1304
451,Mass Effect 2,96,98,8.9,3143
452,Dragon Ball Z: Budokai,67,28,7.9,71
453,Madden NFL 2002,94,23,7.9,46
454,World Class Track Meet,,,,
455,Donkey Kong,,,,
456,The Sims: Vacation,75,18,7.8,22
457,LEGO Batman: The Videogame,74,17,7.9,22
458,Animal Crossing: Happy Home Designer,66,60,6.9,106
459,The Sims 4,70,74,3.9,2057
460,Borderlands 2,89,59,8.2,892
461,LEGO Batman: The Videogame,72,16,8,16
462,Kung Fu Panda,75,42,7.4,32
463,Mass Effect 3,93,74,5.8,3725
464,Heavy Rain,87,107,7.7,2759
465,Rayman,,,,
466,Saints Row 2,81,75,8.1,307
467,Tom Clancy's Splinter Cell,93,46,8.5,121
468,Mike Tyson's Punch-Out!!,,,,
469,WWE SmackDown! Shut Your Mouth,,,,
470,FIFA 14,87,26,6.3,616
471,Killzone 2,91,94,8.1,1505
472,Far Cry 3,91,39,8.6,1247
473,Epic Mickey,73,78,7,131
474,NBA 2K13,88,41,7.2,131
475,Dragon Ball Z: Budokai Tenkaichi 3,73,24,9.2,173
476,wwe Smackdown vs. Raw 2006,,,,
477,Star Fox,,,,
478,The Sims: Livin Large,82,23,6.6,20
479,World Soccer Winning Eleven 6 International,93,24,9.1,65
480,Devil May Cry,94,37,8.5,466
481,Star Wars: The Old Republic,85,73,5.9,2748
482,Middle-Earth: Shadow of Mordor,84,85,8.1,1886
483,Sonic Heroes,64,29,7.8,94
484,Hitman 2: Silent Assassin,85,19,7.8,78
485,Titanfall,86,68,6.4,2658
486,Battlefield: Bad Company 2,88,59,8.5,572
487,Wave Race 64,,,,
488,SOCOM II: U.S. Navy SEALs,87,42,9,93
489,WWE SmackDown! vs. RAW 2006,,,,
490,Pac-Man Collection,79,13,7.8,4
491,Street Fighter IV,93,77,7.3,292
492,inFAMOUS,85,98,8.3,1172
493,Kirby Super Star Ultra,76,40,8.8,76
494,Call of Duty: Ghosts,78,7,4.3,700
495,FIFA 15,,,4.2,85
496,Super Mario World 2: Yoshi's Island,,,,
497,Mass Effect,91,74,8.7,1692
498,Sonic Mega Collection Plus,73,21,8.6,30
499,World Soccer Winning Eleven 7 International,93,28,9,45
500,Sega Superstars Tennis,67,45,6.8,18
501,Hot Shots Golf 3,85,30,8.9,16
502,Cooking Mama: Cook Off,61,37,5.3,23
503,Call of Duty: Finest Hour,76,49,7.7,69
504,WarioWare: Smooth Moves,83,61,7.4,179
505,Syphon Filter,,,,
506,Imagine: Babyz,,,7.7,15
507,Colin McRae Rally,,,,
508,Madden NFL 13,81,36,5.8,179
509,The Elder Scrolls III: Morrowind,87,34,8.7,111
510,Assassin's Creed IV: Black Flag,83,29,7.8,1530
511,Command & Conquer: Red Alert,,,,
512,F-Zero,,,,
513,Yoshi's Story,,,,
514,Mortal Kombat,84,60,8.4,494
515,Madden NFL 10,85,58,6.1,90
516,WWE SmackDown! vs. Raw,,,,
517,BioShock,96,88,8.9,2249
518,Metroid Prime,97,70,9.3,747
519,Assassin's Creed: Brotherhood,90,59,8.2,791
520,Finding Nemo,,,7,8
521,Zumba Fitness 2,,,,
522,Myst,,,,
523,Medal of Honor,75,56,7.5,286
524,Need for Speed: Most Wanted,,,,
525,Imagine: Fashion Designer,,,7.6,7
526,WWE SmackDown! Here Comes the Pain,,,,
527,Hot Shots Golf,,,,
528,A Bug's Life,,,,
529,WWF SmackDown! Just Bring It,,,,
530,inFAMOUS: Second Son,80,90,7.9,2944
531,Dragon Quest V: Tenkuu no Hanayome,,,,
532,Mortal Kombat Trilogy,,,,
533,Monster Hunter Tri,,,,
534,NBA Street,89,22,8.6,39
535,Jak II,87,47,8.2,241
536,Ratchet & Clank: Going Commando,,,,
537,Need for Speed: Hot Pursuit,89,59,7.2,301
538,Skylanders: Spyro's Adventure,81,11,5.6,31
539,Battlefield 3,89,61,7.5,4926
540,Mortal Kombat X,83,81,7.7,836
541,The Sims,83,33,7.7,46
542,Killzone 3,84,85,7.9,942
543,Star Wars: The Force Unleashed,73,74,6.7,389
544,Minecraft,,,,
545,Yoshi's Island DS,81,42,7.4,67
546,Saints Row: The Third,84,70,7.6,490
547,Missile Command,,,,
548,Mario Paint,,,,
549,Tekken 6,79,63,7.4,211
550,Pokémon Stadium 2,,,,
551,Metroid,,,,
552,Sonic and the Secret Rings,69,44,6.6,174
553,FIFA 16,,,3.2,58
554,The Legend of Zelda: A Link to the Past,95,30,9.1,314
555,Onimusha: Warlords,86,23,8.2,56
556,Mario Party,,,,
557,L.A. Noire,89,83,7.8,893
558,Call of Duty 3,82,71,6.5,233
559,Madden NFL 12,78,55,5.9,94
560,LEGO Star Wars II: The Original Trilogy,84,32,9,41
561,Killzone: Shadow Fall,73,88,6.8,2102
562,Madden NFL 11,84,47,5.7,120
563,Burnout 3: Takedown,93,52,9.1,271
564,Yokai Watch 2 Shinuchi,,,,
565,Mortal Kombat,,,,
566,Mario vs. Donkey Kong: Mini-Land Mayhem!,79,51,7.7,18
567,Professor Layton and the Last Specter,83,58,8.7,52
568,Call Of Duty 2: Big Red One,77,39,8.2,69
569,Medal of Honor,92,17,8.6,80
570,Fable,85,87,8.5,268
571,Guitar Hero: World Tour,85,67,6.3,171
572,FIFA 17,84,50,5.5,201
573,Hannah Montana,,,6.7,10
574,Tom Clancy's Splinter Cell,89,24,7.7,102
575,Super Mario Bros.: The Lost Levels,,,,
576,Need for Speed: Shift,84,55,6.9,113
577,Star Wars: Shadows of the Empire,,,,
578,Medal of Honor Heroes,71,24,7.9,47
579,Final Fantasy XIII-2,79,53,6.6,707
580,Midnight Club: Street Racing,78,18,7.8,21
581,Skate 3,80,65,8,127
582,ESPN NFL 2K5,90,37,8.2,84
583,Halo Wars,82,92,7.2,454
584,NBA 2K12,90,42,7.7,134
585,Pac-Man: Adventures in Time,,,,
586,FIFA Soccer 10,90,63,7.5,133
587,Medal of Honor,74,71,6.7,288
588,Harry Potter and the Chamber of Secrets,71,16,7.6,49
589,Streets of Rage,,,,
590,God of War Collection,91,50,8.7,529
591,NBA Live 2005,84,21,8.1,44
592,Mario Strikers Charged,79,47,8,124
593,FIFA Soccer 09,87,42,7.5,108
594,Style Savvy,73,4,7.7,7
595,WWE SmackDown vs. RAW 2007,80,27,8.6,57
596,LEGO Star Wars: The Complete Saga,80,24,7.4,114
597,Ratchet & Clank: Up Your Arsenal,,,,
598,Madden NFL 08,78,11,7.8,17
599,Monster Hunter Freedom 2,72,38,8.7,83
600,Ratchet & Clank Future: Tools of Destruction,,,,
601,Super Mario All-Stars: Limited Edition,,,,
602,Sonic Adventure 2 Battle,73,28,8.3,179
603,Dragon Warrior II,,,,
604,Ghostbusters: The Video Game (DS Version),,,,
605,Madden NFL 13,83,22,5.5,101
606,Dragon Age: Origins,86,68,7.9,725
607,Pokémon Colosseum,73,37,8,89
608,LittleBigPlanet,87,68,7.8,98
609,Madden NFL 09,83,50,7,125
610,Space Invaders,,,,
611,Crazy Taxi,80,15,7.9,46
612,Art Academy,75,15,8,5
613,NBA 2K14,87,23,4.9,150
614,Perfect Dark,,,,
615,Skylanders Giants,78,8,7,20
616,Dragon Warrior,,,,
617,Deca Sports,50,23,5.4,16
618,PES 2009: Pro Evolution Soccer,,,,
619,Mario Party 2,,,,
620,Marvel: Ultimate Alliance,82,68,7.5,120
621,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,,,,
622,Mortal Kombat: Deadly Alliance,79,31,8.8,96
623,Game Party,25,8,4.3,26
624,Bloodborne,92,100,8.6,6383
